team_id,team_name,league_id,last_change_date
1001,Roaring Kitties,5001,2024-4-22
1002,Pigskin Party,5001,2024-4-22
1003,Dallas Steers,5001,2024-4-22
1004,Never Gonna Give Up,5001,2024-4-22
1005,Fighting Catfish,5001,2024-4-22
1006,Wallaby Stew,5001,2024-4-22
1007,Checkers Not Chess,5001,2024-4-22
1008,Defending Champs,5001,2024-4-22
1009,Team Generic,5001,2024-4-22
1010,Fumblerooski,5001,2024-4-22
1011,Double Option,5001,2024-4-22
1012,Wicked Awesome,5001,2024-4-22
1013,The Gridiron Goons,5002,2024-4-22
1014,Fourth and Gronk,5002,2024-4-22
1015,Sunday Mudslingers,5002,2024-4-22
1016,Couch Potatoes,5002,2024-4-22
1017,Draft Day Dummies,5002,2024-4-22
1018,Endzone Pirates,5002,2024-4-22
1019,Blitz Platoon,5002,2024-4-22
1020,The Pigskin Pranksters,5002,2024-4-22
